Date,News,Ticker
"1 Jan, 2020","Analyst Calls: Gujarat Gas, SBI Life, Aarti Industries",SBILIFE
"1 Jan, 2020","Analyst Calls: Gujarat Gas, SBI Life, Aarti Industries",SBIN
"1 Jan, 2020","Adani, NTPC in fray to acquire Avantha’s stressed power plant",ADANIENT
"1 Jan, 2020","Adani, NTPC in fray to acquire Avantha’s stressed power plant",NTPC
"1 Jan, 2020",Tatas to seek urgent relief ahead of January 9 TCS board meeting,TCS
"1 Jan, 2020","On cue from SBI, Housing Finance cos look to slash rates",SBIN
"1 Jan, 2020","Stocks in the news: YES Bank, Prince Pipes, SBI, Adani Green and ICICI Bank",ADANIENT
"1 Jan, 2020","Stocks in the news: YES Bank, Prince Pipes, SBI, Adani Green and ICICI Bank",ICICIBANK
"1 Jan, 2020","Stocks in the news: YES Bank, Prince Pipes, SBI, Adani Green and ICICI Bank",SBIN
"1 Jan, 2020","Tata Motors hopes to turn the corner in FY21, riding new cars and a low-cost model",TATAMOTORS
"1 Jan, 2020","Buzzing stocks: YES Bank, Dish TV, Vodafone Idea, RIL",RELIANCE
"1 Jan, 2020",Stock market update: IT shares advance; Mindtree rises 1%,LTIM
"1 Jan, 2020",Share market update: OMCs trade in the red; ONGC down 1%,ONGC
"1 Jan, 2020",Share market update: Power shares up; Adani Power rises 1%,ADANIENT
"1 Jan, 2020","Economy hit by lack of political consensus, says Maruti boss RC Bhargava",MARUTI
"1 Jan, 2020",Share market update: BSE Midcap index advances; Reliance Capital jumps 5%,RELIANCE
"1 Jan, 2020","Maruti Suzuki, M&M beat year-end blues, post rise in domestic sales figures",M&M
"1 Jan, 2020","Maruti Suzuki, M&M beat year-end blues, post rise in domestic sales figures",MARUTI
"1 Jan, 2020",Share market update: Nifty Service sector index flat; Adani Ports gains 3%,ADANIENT
"1 Jan, 2020",Share market update: Nifty Service sector index flat; Adani Ports gains 3%,ADANIPORTS
"1 Jan, 2020",M&M posts 1% rise in auto sales in December,M&M
"1 Jan, 2020",ONGC gets cracking at Panna-Mukta field; cost-saving measures reap dividends,ONGC
"1 Jan, 2020","20 IPOs for 2020! SBI Cards, Equitas SFB, EasyTrip & which others to wait for",SBIN
